,City,Temperature (F),Latitude,Longitude,Humidity (%),Cloudiness (%),Wind Speed (mph)
120,Nogent-le-Rotrou,13.0,48.32,0.82,87,0,10.8
121,Fortuna,12.0,38.18,-1.13,87,20,1.5
122,Ribeira Grande,18.0,38.52,-28.7,77,20,2.6
123,Chicama,22.0,-7.84,-79.15,73,40,4.6
124,San Cristobal,18.0,-0.39,-78.55,68,75,5.7
125,Port Hedland,27.0,-20.31,118.58,69,0,1.5
126,Sorland,4.28,67.67,12.69,100,8,11.66
127,Kavieng,29.83,-2.57,150.8,100,88,2.66
128,Caravelas,23.35,-17.73,-39.27,100,92,8.56
129,Port Macquarie,20.0,-31.43,152.91,72,8,4.1
130,Hobart,14.0,-42.88,147.33,71,75,3.6
131,Faanui,26.1,-16.48,-151.75,100,88,6.56
132,Lac du Bonnet,-10.0,50.25,-96.06,84,0,4.96
133,Bambous Virieux,25.0,-20.34,57.76,88,40,1.5
134,Hokitika,14.4,-42.72,170.96,100,92,2.66
135,Necochea,26.83,-38.55,-58.74,52,0,7.91
136,Yar-Sale,-7.73,66.83,70.83,96,80,3.81
137,Pakokku,14.83,21.33,95.09,93,0,1.06
138,Cherskiy,-33.08,68.75,161.3,87,56,1.41
139,Ancud,17.0,-41.87,-73.83,77,75,7.7
140,Sao Filipe,24.28,14.9,-24.5,95,0,5.56
141,Port Alfred,18.8,-33.59,26.89,95,76,3.81
142,Kodiak,2.0,39.95,-94.76,27,1,3.6
143,Cockburn Town,26.8,21.46,-71.14,100,0,7.76
144,Jose Bonifacio,29.0,-21.05,-49.69,30,20,5.1
145,Batouri,22.7,4.44,14.36,87,32,3.41
146,Xichang,1.93,27.88,102.25,65,0,0.76
147,Bosaso,24.33,11.28,49.18,100,20,4.36
148,Kitimat,-3.0,54.02,-128.69,92,90,1.5
149,Sao Gabriel da Cachoeira,31.0,-0.13,-67.09,66,40,1.5
150,Balikpapan,25.68,-1.24,116.86,100,12,2.41
151,Lompoc,20.6,34.64,-120.46,45,1,2.6
152,Yuncheng,-8.1,35.03,111.0,94,64,1.16
153,Sao Joao da Barra,22.83,-21.64,-41.05,100,48,8.96
154,Trairi,27.68,-3.28,-39.27,100,0,4.76
155,Pacific Grove,17.8,36.62,-121.92,64,1,2.6
156,Pevek,-16.95,69.7,170.27,100,24,4.36
157,Belmonte,2.83,40.36,-7.35,81,0,1.61
158,Prainha,24.2,-1.8,-53.48,100,48,1.21
159,Fayaoue,25.33,-20.65,166.53,100,8,11.46
160,Palaikastron,16.43,35.2,26.25,100,0,5.01
161,Kavaratti,29.08,10.57,72.64,100,0,3.81
162,Wenling,6.08,28.38,121.38,100,92,7.51
163,Christchurch,20.0,-43.53,172.64,60,44,3.6
164,Denpasar,27.0,-8.65,115.22,94,40,1.0
165,Mahebourg,25.0,-20.41,57.7,88,40,1.5
166,Wanxian,-1.18,30.8,108.39,83,88,1.06
167,Tuktoyaktuk,-13.0,69.44,-133.03,84,90,6.7
168,Sistranda,1.0,63.73,8.83,100,75,3.1
169,Tazovskiy,-8.93,67.47,78.7,90,80,5.16
170,Carnarvon,11.85,-30.97,22.13,56,0,5.46
171,Constitucion,21.0,23.99,-104.67,27,40,6.2
172,Lazaro Cardenas,13.0,28.39,-105.62,50,75,4.6
173,Neuquen,31.0,-38.95,-68.06,20,40,8.2
174,Souillac,13.0,45.6,-0.6,93,90,8.2
175,Dingle,24.78,11.0,122.67,92,44,4.86
176,Georgetown,29.0,6.8,-58.16,74,40,7.2
177,Leningradskiy,-17.55,69.38,178.42,85,8,6.26
178,Tadine,25.03,-21.55,167.88,93,0,10.51
179,Emerald,22.0,-23.53,148.16,64,100,5.7
180,Chokurdakh,-35.75,70.62,147.9,57,12,1.36
181,Lorengau,28.6,-2.02,147.27,100,44,4.06
182,Black River,29.0,18.03,-77.85,66,20,7.2
183,Buchanan,26.0,5.88,-10.05,94,40,3.46
184,Baran,10.78,25.1,76.52,79,0,1.21
185,Piterka,-2.6,50.68,47.44,94,80,2.46
186,Klaksvik,2.0,62.23,-6.59,80,64,2.6
187,Kuito,16.58,-12.38,16.94,95,20,3.76
188,Hithadhoo,28.65,-0.6,73.08,100,56,4.21
189,Mahajanga,29.0,-15.72,46.32,79,20,4.1
190,Luderitz,15.45,-26.65,15.16,77,0,8.46
191,Upington,17.83,-28.46,21.24,20,0,5.11
192,Sitka,3.53,37.17,-99.65,49,0,2.06
193,Palestine,6.1,31.76,-95.63,95,90,4.6
194,Kidal,14.35,18.44,1.41,43,0,3.36
195,East London,20.08,-33.02,27.91,100,92,4.11
196,Avarua,28.0,-21.21,-159.78,78,75,4.1
197,Beloha,23.6,-25.17,45.06,76,0,2.41
198,Tasiilaq,-7.0,65.61,-37.64,57,20,1.0
199,Playa Vicente,27.3,17.83,-95.81,91,0,1.86
200,Torbay,-2.0,47.66,-52.73,86,90,3.1
201,Samagaltay,-31.73,50.6,95.0,67,32,1.21
202,Deniliquin,23.6,-35.53,144.96,62,68,5.71
203,Anori,29.33,-3.74,-61.66,74,0,1.61
204,Madang,23.1,-5.21,145.81,100,88,2.41
205,Ugoofaaru,28.2,5.67,73.0,100,68,5.01
206,Tilichiki,-35.8,60.47,166.1,55,12,1.61
207,Lagos,27.9,6.46,3.39,81,0,4.01
208,Galle,9.4,29.74,-97.91,76,90,6.2
209,Rize,8.0,41.02,40.52,70,75,2.6
210,Tabou,28.3,4.42,-7.36,100,8,4.11
211,Walvis Bay,17.0,-22.95,14.51,77,0,3.6
212,Vostok,-22.68,46.45,135.83,62,32,2.66
213,Iracoubo,26.05,5.48,-53.21,75,100,2.66
214,Aklavik,-13.0,68.22,-135.01,77,90,5.7
215,Norman Wells,-12.0,65.28,-126.83,92,75,1.5
216,Ust-Kuyga,-41.98,70.0,135.55,0,32,1.31
217,Sungaipenuh,18.65,-2.08,101.38,96,44,0.06
218,Shingu,8.83,33.72,135.99,100,24,8.46
219,Canico,18.0,32.63,-16.85,77,40,8.2
220,Changli,3.5,30.54,105.42,97,92,1.96
221,Ankang,-5.95,32.73,108.99,84,48,0.86
222,Anisoc,20.35,1.87,10.77,100,92,1.16
223,Koumac,25.1,-20.56,164.28,81,56,7.61
224,Ponta Delgada,19.0,37.73,-25.67,55,0,6.2
225,Kamen-na-Obi,-18.35,53.79,81.35,68,44,0.96
226,Wanning,8.0,48.64,13.53,61,75,6.2
227,Husavik,-12.73,50.56,-96.99,84,0,5.36
228,Ionia,-1.2,42.99,-85.07,52,40,3.6
229,Meulaboh,25.58,4.14,96.13,100,32,1.66
230,Vila Velha,29.0,-3.71,-38.6,70,75,4.1
231,Poddorye,-1.75,57.47,31.12,84,92,8.81
232,Celestun,27.33,20.87,-90.4,91,32,1.41
233,Makakilo City,24.4,21.35,-158.09,88,75,5.7
234,Faya,14.0,18.39,42.45,87,5,2.1
235,Kalaleh,11.0,37.38,55.49,93,75,0.76
236,Te Anau,16.4,-45.41,167.72,67,32,4.66
237,Hofn,1.1,64.25,-15.21,100,32,8.16
238,Isangel,25.18,-19.55,169.27,100,0,11.06
239,Pachperwa,8.8,27.52,82.65,83,0,0.51
240,Kloulklubed,25.0,7.04,134.26,94,90,1.5
241,Touros,27.55,-5.2,-35.46,80,12,4.26
242,Saldanha,0.1,41.42,-6.55,86,0,1.26
243,Sibiti,22.1,-3.69,13.35,98,92,1.31
244,Brownsville,13.9,25.91,-97.49,93,90,5.1
245,Belaya Gora,-36.2,68.54,146.19,60,56,1.66
246,San Vicente,32.0,13.64,-88.78,52,20,2.1
247,Khani,6.0,41.96,42.96,100,90,2.1
248,Nandyal,19.55,15.47,78.48,92,0,1.66
249,Marabba,21.4,12.35,32.18,22,0,4.91
250,Buraydah,17.0,26.33,43.97,77,20,2.6
251,Ginir,18.18,7.14,40.71,68,76,1.31
252,Ilhabela,22.05,-23.78,-45.36,100,48,4.41
253,Severodvinsk,-5.0,64.56,39.82,85,90,6.0
254,Kawalu,20.03,-7.38,108.21,99,92,0.71
255,Kyzyl-Suu,-2.73,42.34,78.0,100,56,1.51
256,Namibe,21.58,-15.19,12.15,100,0,3.41
257,Porto Walter,22.65,-8.27,-72.74,100,92,1.11
258,Ewa Beach,24.4,21.32,-158.01,70,75,6.2
259,Nortelandia,29.03,-14.45,-56.8,79,48,1.96
260,Tevaitoa,24.7,-16.78,-151.5,100,68,8.01
261,Kralendijk,28.0,12.15,-68.27,69,20,7.2
262,Rabo de Peixe,19.0,37.8,-25.58,55,0,6.2
263,Komsomolskiy,-10.75,67.55,63.78,84,76,4.36
264,Tawau,25.0,4.26,117.89,94,75,1.5
265,Shelburne,-1.0,44.08,-80.2,74,40,4.1
266,Naryan-Mar,-6.95,67.67,53.09,81,64,7.21
267,Kamenka,-6.93,53.19,44.05,93,88,2.31
268,Svetlogorsk,-15.0,53.14,59.15,84,36,1.31
269,Barcelona,9.0,41.38,2.18,81,0,3.1
270,Manaul,23.85,12.45,121.41,88,56,2.71
271,Noyabrsk,-9.7,63.2,75.45,84,80,6.11
272,Katsuura,5.4,33.93,134.5,98,76,6.36
273,Casino,22.0,-28.86,153.05,82,92,1.5
274,Dulce Nombre de Culmi,31.0,15.08,-85.56,62,40,3.1
275,LOS ALGARROBOS,32.0,-3.25,-79.94,73,90,3.6
276,Fomboni,28.4,-12.28,43.74,100,0,6.86
277,Barra Patuca,28.3,15.8,-84.28,83,32,6.61
278,Homer,0.0,59.64,-151.54,88,90,5.7
279,Chittur,24.0,10.7,76.74,78,20,2.1
280,Giyon,14.3,8.53,37.98,52,12,4.01
281,Turukhansk,-19.58,65.8,87.96,76,88,8.61
282,Port Augusta,18.0,-32.49,137.76,88,0,4.6
283,San Quintin,18.25,17.54,120.52,87,8,1.46
284,Shwebo,16.55,22.57,95.7,90,8,2.56
285,Laguna,26.0,27.52,-110.01,34,5,3.1
286,Los Llanos de Aridane,19.0,28.66,-17.92,68,40,4.1
287,Iskateley,-7.58,67.68,53.15,85,48,7.81
288,Naze,27.0,5.43,7.07,83,40,1.5
289,Barranca,19.65,-10.75,-77.76,100,68,5.01
290,Padang,27.08,-0.92,100.36,100,32,2.26
291,Juneau,7.0,58.3,-134.42,75,90,4.1
292,Bonavista,-2.33,48.65,-53.11,100,68,2.21
293,Inuvik,-13.0,68.36,-133.71,84,90,4.6
294,Anadyr,-23.0,64.73,177.51,76,75,8.0
295,Itarema,27.05,-2.92,-39.92,81,36,2.91
296,Robe,9.5,7.12,40.01,83,20,1.01
297,Sorrento,17.0,-31.82,115.75,63,0,5.1
298,Ust-Nera,-37.85,64.57,143.24,61,8,0.91
299,Ostersund,-2.0,63.18,14.64,92,92,4.6
300,Tecoanapa,30.0,16.99,-99.26,70,5,3.1
301,Guatire,29.0,10.47,-66.54,74,75,2.1
302,Sao Raimundo das Mangabeiras,27.83,-7.02,-45.48,76,44,1.41
303,Karema,19.85,-6.82,30.44,91,36,1.76
304,Mar del Plata,29.6,-46.43,-67.52,24,32,8.36
305,Capitao Poco,26.78,-1.75,-47.06,83,92,2.01
306,Cocoa Beach,25.0,28.32,-80.61,74,1,1.5
307,Pokhara,4.18,28.21,83.99,86,0,1.21
308,Berlevag,-7.0,70.86,29.09,67,0,7.2
309,Kapit,22.05,2.02,112.94,98,88,0.76
310,Kailua,24.4,21.39,-157.74,88,75,5.7
311,Roebourne,30.7,-20.77,117.15,18,24,5.21
312,Samarai,28.5,-10.62,150.67,100,12,5.81
313,Katherine,28.0,-14.47,132.26,83,75,2.1
314,Novoagansk,-8.98,61.94,76.66,85,76,3.41
315,Diffa,17.78,13.32,12.61,35,0,3.46
316,Ciudad Bolivar,29.3,8.12,-63.55,69,32,5.61
317,Luau,22.45,-10.7,22.23,83,44,1.96
318,Port-Cartier,-12.0,50.03,-66.88,51,20,3.6
319,Dankov,-5.98,53.25,39.16,86,88,2.76
320,Polovinnoye,-22.05,54.79,65.99,47,0,2.11
321,Flinders,21.8,-34.58,150.85,77,0,2.01
322,Basco,-1.0,40.33,-91.2,58,1,2.6
323,Marsh Harbour,24.2,26.54,-77.06,100,92,5.31
324,Gualaceo,15.4,-2.89,-78.78,100,88,1.26
325,Vila Franca do Campo,19.0,37.72,-25.43,55,0,6.2
326,Alugan,26.18,12.22,125.48,97,48,5.11
327,Nihommatsu,-0.55,37.58,140.43,93,88,1.41
328,Mayor Pablo Lagerenza,31.35,-19.93,-60.77,52,0,2.76
329,Aguimes,19.0,27.91,-15.45,77,20,4.6
330,Rockland,-0.6,42.13,-70.92,25,1,2.6
331,Yumen,-24.25,40.29,97.04,47,0,0.71
332,San Policarpo,26.18,12.18,125.51,97,48,5.11
333,Palafrugell,7.0,41.92,3.16,100,20,0.5
334,Saint-Pierre,11.0,48.95,4.24,100,92,14.9
335,Mandan,-1.1,46.83,-100.89,58,1,2.1
336,Srednekolymsk,-37.55,67.46,153.71,68,36,1.21
337,Mogadishu,27.28,2.04,45.34,99,20,7.71
338,Mandalgovi,-28.4,45.76,106.27,71,0,3.96
339,Monterotondo,11.0,42.05,12.62,61,0,2.6
340,Taguatinga,18.0,-15.83,-48.06,100,75,7.7
341,Klyuchi,-24.73,52.25,79.17,60,0,3.11
342,Boca do Acre,25.2,-8.76,-67.39,90,80,1.21
343,Bumba,21.83,2.18,22.47,94,80,2.66
344,Bitam,20.1,2.08,11.49,99,100,0.86
345,Worland,0.3,44.02,-107.96,45,1,1.76
346,Victoria,26.0,5.28,115.24,100,75,3.56
347,Maceio,28.0,-9.67,-35.74,65,0,7.7
348,Kahului,25.6,20.89,-156.47,71,40,6.2
349,Dixon,15.0,38.45,-121.82,58,1,3.6
350,Medyn,-5.0,54.97,35.86,85,64,6.0
351,Copiapo,22.0,-27.37,-70.33,49,0,6.7
352,Tautira,28.0,-17.73,-149.15,74,40,5.1
353,Smithers,-4.0,54.78,-127.17,68,40,3.6
354,Hasaki,4.0,35.73,140.83,69,75,3.1
355,Boa Vista,33.0,2.82,-60.67,43,40,5.1
356,Yulara,26.0,-25.24,130.99,47,12,3.1
357,Westport,7.0,53.8,-9.52,93,75,9.8
358,Sovetskaya Gavan,-17.68,48.97,140.29,100,0,7.61
359,Cururupu,27.8,-1.82,-44.87,77,48,2.76
360,Tekeli,-14.4,44.86,78.76,43,48,1.51
361,Cayenne,28.0,4.94,-52.33,69,20,4.6
362,Beringovskiy,-18.35,63.05,179.32,100,20,8.06
363,Cartagena del Chaira,24.95,1.33,-74.84,85,92,1.41
364,Baykit,-29.43,61.68,96.39,59,64,1.21
365,Sur,24.28,22.57,59.53,100,0,2.16
366,Estelle,5.0,32.87,-97.01,92,90,6.7
367,Road Town,29.0,18.42,-64.62,58,40,5.1
368,Tecpan,25.0,14.76,-90.99,53,75,5.1
369,Lalsk,-8.7,60.74,47.59,87,64,2.36
370,Chipinge,24.3,-20.19,32.62,75,36,1.81
371,Lagoa,15.0,37.14,-8.45,82,0,1.5
372,Mehamn,-7.0,71.03,27.85,67,0,7.2
373,Solnechnyy,-27.8,50.72,136.64,78,48,0.96
374,Benguela,23.8,-12.58,13.4,100,56,2.51
375,Cannes,12.0,43.55,7.01,50,0,6.2
376,Chapais,-18.0,49.78,-74.86,77,90,1.5
377,Bilma,11.85,18.69,12.92,49,0,2.96
378,Shimoda,11.7,34.7,138.93,100,0,7.61
379,Taunton,-0.6,41.9,-71.09,30,1,3.1
380,Hervey Bay,21.0,-25.3,152.85,83,100,4.6
381,Nador,14.0,35.17,-2.93,87,20,1.5
382,Iquique,21.0,-20.22,-70.14,64,40,10.3
383,Port Lincoln,16.58,-34.72,135.86,96,36,5.31
384,Weligama,24.03,5.97,80.42,100,88,2.21
385,Sabang,24.5,13.72,123.58,100,76,3.81
386,Aurora,-0.6,41.76,-88.32,60,75,2.1
387,Nioro,24.33,13.79,-15.05,42,12,2.56
388,Fairview,2.8,40.81,-74.0,47,90,6.2
389,Taveta,22.0,-3.4,37.68,88,40,5.1
390,Nanortalik,-3.15,60.14,-45.24,90,44,4.11
391,El Guayabito,31.0,14.78,-85.94,62,40,3.1
392,Ploemeur,12.0,47.73,-3.43,81,90,8.2
393,Arman,-27.4,59.7,150.17,72,0,2.76
394,Paraiso,21.0,24.01,-104.61,27,40,6.2
395,Ossora,-20.85,59.24,163.07,97,24,3.51
396,Norcasia,21.58,5.58,-74.89,85,56,1.01
397,Hamada,4.35,34.9,132.08,100,88,7.16
398,Maningrida,29.33,-12.05,134.23,85,0,1.61
399,Tefe,32.0,-3.35,-64.71,59,20,2.1
400,Omboue,26.53,-1.57,9.26,100,80,3.21
401,Isfana,6.0,39.84,69.53,70,90,2.0
402,Wahiawa,24.4,21.5,-158.02,91,75,4.1
403,Boende,21.6,-0.28,20.88,98,88,1.06
404,Guerrero Negro,21.35,27.97,-114.04,67,0,2.56
405,Alofi,24.78,-19.06,-169.92,100,92,7.46
406,Panjab,-14.85,34.38,67.02,59,44,0.91
407,Casablanca,14.0,33.6,-7.62,100,20,4.1
408,Cabedelo,28.0,-6.97,-34.84,69,20,4.6
409,Prieska,16.18,-29.67,22.74,18,0,3.31
410,Clyde River,-29.0,70.47,-68.59,68,1,1.0
411,Kharp,-13.0,66.82,65.8,73,48,1.81
412,Aswan,15.0,24.09,32.9,47,0,2.1
413,Lardos,13.0,36.09,28.02,66,0,2.6
414,Aspindza,-4.43,41.57,43.25,100,68,0.96
415,Nizhnevartovsk,-18.0,60.93,76.58,91,0,2.0
416,Wad Rawah,19.65,15.16,33.13,40,0,4.21
417,Zhangye,-22.93,38.94,100.46,41,0,0.71
418,Kokuy,-38.65,52.2,117.55,0,0,0.61
419,Redlands,21.1,34.06,-117.19,40,1,0.61
420,Kalmunai,22.35,7.42,81.82,100,92,3.61
421,Qaqortoq,-3.15,60.72,-46.03,91,44,0.86
422,Amapa,31.0,15.09,-87.97,55,40,5.1
423,Kota Kinabalu,26.0,5.98,116.07,83,75,3.1
424,Peruibe,22.6,-24.32,-47.0,100,32,5.01
425,Wattegama,20.93,7.35,80.68,98,80,1.56
426,Buala,27.45,-8.15,159.59,96,44,1.21
427,Yinchuan,-21.23,38.48,106.21,63,0,2.31
428,Nokaneng,24.43,-19.66,22.19,57,48,1.36
429,Takoradi,27.7,4.89,-1.75,100,24,3.51
430,Adiake,29.0,5.29,-3.3,79,20,2.1
431,Cidreira,20.5,-30.17,-50.22,60,0,5.21
432,Naron,12.0,43.52,-8.15,93,90,6.2
433,Felipe Carrillo Puerto,27.6,19.58,-88.05,78,92,2.31
434,Phatthalung,25.85,7.62,100.08,95,92,2.06
435,Banjar,23.4,-7.37,108.54,99,92,0.96
436,Camacha,18.0,33.08,-16.33,77,40,7.7
437,Roald,4.0,62.58,6.12,86,75,7.7
438,Milkovo,-1.0,41.53,24.68,100,0,2.1
439,Pangoa,21.68,-12.12,-73.0,89,76,0.96
440,Isla Mujeres,28.0,21.23,-86.73,78,75,4.6
441,Hovd,1.0,63.83,10.7,86,75,5.1
442,Saint-Augustin,13.0,44.83,-0.61,100,90,6.7
443,Sauda,-7.95,59.65,6.35,99,68,0.91
444,Masyaf,14.0,35.06,36.34,87,75,3.6
445,Bolgatanga,21.45,10.79,-0.85,34,0,2.86
446,Salinas,17.8,36.67,-121.66,58,1,2.1
447,Cortez,3.9,37.35,-108.58,66,1,1.76
448,Bonfim,31.1,3.36,-59.84,55,80,7.36
449,Lincoln,1.1,40.8,-96.67,67,1,2.6
450,Coquimbo,20.0,-29.95,-71.34,64,0,7.2
451,Portel,11.0,38.31,-7.71,87,0,3.6
452,Santa Cruz,17.8,36.97,-122.03,58,1,2.1
453,Gasa,-27.6,27.91,89.73,28,32,0.51
454,Mutuipe,28.68,-13.23,-39.5,55,56,0.86
455,Seoul,-9.0,37.57,126.98,36,0,1.0
456,Manhattan,4.0,39.18,-96.57,46,1,3.1
457,Havelock,8.3,34.88,-76.9,79,90,3.1
458,Halifax,-8.0,44.65,-63.58,72,20,4.6
459,Pitimbu,28.0,-7.47,-34.81,69,20,4.6
460,Fort Wellington,26.4,6.4,-57.6,97,92,5.91
461,Bubaque,28.8,11.28,-15.83,93,0,0.96
462,Palmer,2.2,61.6,-149.11,95,90,1.5
463,Mae Sai,21.0,20.44,99.89,100,40,0.81
464,Salinopolis,27.8,-0.61,-47.36,95,100,5.56
465,Bongandanga,23.08,1.51,21.07,96,80,1.06
466,Mujiayingzi,-24.45,42.12,118.78,53,0,1.46
467,Buluang,26.0,10.47,123.98,88,75,3.1
468,Saint Anthony,0.0,43.97,-111.68,74,90,2.6
469,Praxedis Guerrero,9.4,31.37,-106.02,74,75,1.91
470,Lyngseidet,-10.0,69.58,20.21,92,20,2.6
471,Grenada,7.2,33.77,-89.81,93,90,3.1
